"ID","Title","Link","Company","Location","Remote","Experience","EmploymentType","DatePosted","Section_0","Section_1","Section_10","Section_11","Section_12","Section_13","Section_16","Section_17","Section_18","Section_2","Section_3","Section_4","Section_5","Section_6","Section_7","Section_8","Section_9","Section_14","Section_15","Section_19","Section_20","Section_22","Section_23","Section_24","Section_25","Section_26","Section_27","Section_28","Section_29","Section_30","Section_31","Section_32","Section_33","Section_35","Section_36","Section_37"
2360387,"General Office Clerk","https://jobs.smartrecruiters.com/FosterFarms/744000040360665-general-office-clerk","Foster Farms","Delta","No","3","Full time","2025-02-05T17:46:50.928485Z","This job pays 19.25-22.65 Depending on level of experience.","We offer our TEAM Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement 401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","JOB DUTIES","Support the Breeder Manager in all administrative matters. Provide clerical and general support for the HR Manager, Safety Manager, and Controller. Perform general receptionist duties. Coordinate plant community relations and employee relations activities.Responsible for maintaining supplies and fulfill requests for supplies from Management.Schedule Plant Services and ToursCheck for reasonableness of numbers reported.  Review problems with the source of the original paperwork or their immediate supervisor.  Missing paperwork.Gather, compile, enter and track assorted data received from Production, Accounting and Safety in order to generate required reports.  This includes data entry, generating graphs and summary reports.  Also includes the initial analysis on the outcome of daily, weekly and period end reporting.Provide general secretarialadministrative support to Plant Manager, HR Manager, Safety Manager and Controller.  The primary contact for administrative duties plant wide.Prepare quarterly manager performance reports for plant manager and production manager.  Maintain safety audit scorecard program and participate with Safety Awareness Committee. Coordinate plant team member relations as well as community relations","Possess a high school diploma (or equivalent).Have a minimum of three (2) years secretarial experience.Able to work with minimal supervision.Demonstrated strong interpersonal and verbalwritten communications skills.Demonstrated strong organizational skills.Demonstrated experience handlingsafeguarding confidential information.Able to type forty-five (45) wpm 10-key by touch.Demonstrated working knowledge of computers (including intermediate level proficiency in use of Excel, Word, and Power Point programs).","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2360385,"Tender PackagingBasket PackerDay Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040360210-tender-packaging-basket-packer-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928501Z","Pay rates 19.00 with an Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our Team Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Job Description","Use small hand-held tools (i.e., knives, scissors) to cut chicken into segments for product run.Pack product into foam trays andor plastic bags.Place labels and perform arrangement on trays filled with chicken parts.Repetitive grasping, pushing, and pulling motions while packing, cutting, and grading product.Rotate through various positions on production areas throughout the shift.Place empty trays and pads on the line.Visually inspect and grade chicken parts to determine grade for production lines.Work regularly in a cold or hot environment depending on designated work area.Communicate with Supervision, Lead personnel, and co-workers for assistance regarding assigned task(s), rotation, and production issues. Perform other duties as assigned.","Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback.Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety  procedures.Walk and stand on concrete floor, grating, or metal stand in a cold  environment for prolonged periods.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2360382,"Maintenance Manager","https://jobs.smartrecruiters.com/FosterFarms/744000040363496-maintenance-manager","Foster Farms","Demopolis","No","5","Full time","2025-02-05T17:46:50.928519Z","Purpose of Position","Provide engineering and technical leadership to ensure plant facilitiesequipment are reliable, safe and sanitary. Provide overall management and direction for the Maintenance department. Responsible for the professional development and training (procedures and standards) of Maintenance Supervisors and hourly personnel. Ensure the work force meets departmental objectives regarding productivity, quality and safety. Ensure the production departments maximize uptime by decreasing equipment downtime.",,,,,,,,"Essential Functions","Manage the Maintenance department effectively. Consistently attain department goalsstandards for cost, productivity, quality and safety. Ensure production departments maximize uptime.Manage capital program effectively. Consistently complete assigned projects within the budget.Responsible for professionial development and training of departmental personnel.Provide a high level of personnel commitmentfocus to departmental safety.Oversee facility compliance with regulatory agency requirementsreporting standards.Responsible for wastewater and for some enviromental coordinator duties.","Must possess a B.S. degree in Mechanical Engineering (or equivalent).Must have a minimum of five (5) years' experience in the food processing industry in the areas listed Ammonia refrigeration and waste water treatment plant.Managing and controlling hazardous materials at the plant level in the maintenance areas.Must provide evidence of a strong mechanical background (electrical experience is also very desirable).Must exhibit a substantial background in departmental administration, budget initiation, cost control, project management, etc.Must be able to communicate well verbally and in writing.Must have strong interpersonal communication skills.Must be able to evaluate supervisors fairly and objectively and suggest areas for needed improvement.in a postive manner.Must possess good computer skills including windows and associated software.Must be able to submit and pass a criminal background check.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2360374,"Base Cook (Days)","https://jobs.smartrecruiters.com/FosterFarms/744000040369345-base-cook-days-","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928535Z","To be viable asset to the company and follow Food Safety, HACCP, USDA, work safely and abide by all Company rules and regulations.","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2360371,"Distribution Supervisor - Cherry (Nights)","https://jobs.smartrecruiters.com/FosterFarms/744000040381675-distribution-supervisor-cherry-nights-","Foster Farms","Fresno","No","10","Full time","2025-02-05T17:46:50.928566Z","Pay Range 69,400 to 82,285 per year","ESSENTIAL JOB FUNCTIONS",,,,,,,,"Responsible for Distribution department(s) and for meeting department and company goals and standards on quality, yield, productivity cost and safety.Responsible for the development and training of lead persons and employees, working within the guidelines of the Employee Handbook and company policies.Report to Superintendent on all exceptions in regards to productivity, downtime, quality, yield, cost and safety.Responsible for monitoring standards and indexes needed to control area of responsibility.Administer to ensure that safety orientations and safety meetings are held as required to keep frequency and severity to a minimum.Participates at department meetings in the planning processes and to the testing and development of techniquesprocesses.","REQUIREMENTS","BS or BA in business management or equivalent work experience (five to ten years) in the food processing industry.﻿Demonstrated ability to communicate verbally and in writing and must have strong interpersonal skills.Good mathematical background to be able to perform calculations on yield, productivity, time cards, reports, etc.Able to evaluate forepersons fairly and objectively strong human resource skills.Growth potential to assume more responsibility.Able to stand for prolong periods of time on a concretemetal grate floor.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2360368,"Fresh Nights Coneline (Base)","https://jobs.smartrecruiters.com/FosterFarms/744000040387233-fresh-nights-coneline-base-","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928584Z","To help setup, help assemble, and assist where needed in performing coneline job task safely and efficiently.","Must be able to stand for long periods of time.Must be able to lift and climb.Must have good communication skills, both written and oralMust be able to work weekends and overtimeMust be able to work in a controlled environment (i.e. hot and cold).",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2360367,"Service Lead - Ellenwood Hatchery (Shift Varies)","https://jobs.smartrecruiters.com/FosterFarms/744000040391964-service-lead-ellenwood-hatchery-shift-varies-","Foster Farms","Waterford","No","Not specified","Full time","2025-02-05T17:46:50.928610Z","Rate of Pay 19.00 per hour","(Additional 1.00 per hours worked between 700pm and 1159pm.  Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"Organize hatch pull room for the best efficiency.Make sure that all positions are staffed before the hatch pull starts, so chicks are serviced in the most efficient manner.Make sure that servicing equipment is run properly, without unnecessary interruptions.Urgently seek maintenance help when servicing equipment breaks.Make sure that all servicing is working properly to avoid any potential chick injuries.During the hatch pull, make sure that chicks are kept by egg categorybreeder flock.Make sure that chicks are comfortable in the holding room. Overheating and cooling are equally detrimental to chicks welfare and early performance.Coordinate team members breaks to minimize downtime during the chick servicing.Make sure that the vaccine handling and application are adequate, according to the requirements of veterinary services.During the servicing process, monitor the enforcement of the chick welfare policy, inform hatchery supervisor of any potential concerns.Monitor the implementation of safety policies and address any concerns first with team members and if necessary, with supervisors and finally hatchery manager.Make sure that washing and disinfection of servicing equipment are done according to SOP. Protect the water sensitive equipment components, such as control panels, motors, etc. Assist hatchery supervisors and the manager with any other tasks as necessary.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2356870,"Assistant Ranch Manager - Easter Road Ranch (Shift Varies)","https://jobs.smartrecruiters.com/FosterFarms/744000040111025-assistant-ranch-manager-easter-road-ranch-shift-varies-","Foster Farms","Olathe","No","1","Full time","2025-02-05T17:46:50.928637Z","Pay Rate 20.00 per hour","(Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"Responsible for overseeing all farm operations which includes","Making adjustments to chicken house environment.Collection and proper handling of eggs.Collection and proper disposal of daily mortality.Operation of tractors and equipment for the cleaning of chicken houses and farm maintenance.Set up and placement of birds.Preparation for ship out of birds.Maintain compliance to company programs, procedures,  safety standards.Management of farm labor and maintain good employeremployee relations.Excellent communication skills with higher authority.Accurate completion of all records.","Minimum of 1 year of successful poultry management experience.Outstanding motivation  must be self-starter requiring minimal supervision.Good oral and communication skills and good math skills.Strong mechanical skills are preferred.Bi-lingual (SpanishEnglish) preferred.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2352634,"EvisOver CrewSwing Shift","https://jobs.smartrecruiters.com/FosterFarms/744000039751025-evis-over-crew-swing-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928658Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","Essential Job Functions",,,,,,,,"Rotate through various positions on Evis line.Sort livers and gizzards. Able to trim carcasses with a knife.New Poultry Inspection System (NPIS) certification preferred or ability to successfully pass NPIS test within 90 days.Maintain and improve quality and food safety to ensure compliance with company standards and USDA requirements.Follow the established Animal Welfare Program guidelines and procedures.Perform other duties as assigned.","We offer our Team Members the following benefits","Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.","Understand and follow established rules and procedures as well as accept constructive feedback.Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety  procedures.Walk and stand on concrete floor, grating, or metal stand in a cold  environment for prolonged periods.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,
2352633,"Assistant Ranch Fore Trainee - Dept 305 - Shasta Ranch (Day Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000039756725-assistant-ranch-fore-trainee-dept-305-shasta-ranch-day-shift-","Foster Farms","Kerman","No","Not specified","Full time","2025-02-05T17:46:50.928677Z","Pay Rate 17.50 per hour","(Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"ESSENTIAL JOB FUNCTIONS","To learn all the functions of the Ranch Manager and the Assistant Ranch Manager as they relate to day-to-day fryer ranch duties. Emphasis should be placed on the importance of quickly developing all the necessary skills for becoming an Assistant Ranch Foreperson.Learn about and assist with the grow out program so that ranch setup, brooding, temperatures, ventilation, mortality, vaccination, and medication are sustained to meet the highest level of quality and productivity.Learn about and assist with the maintenance of the facilities and equipment for optimal use and appearance.Learn about and assist the Foreperson with feed projections, coordination with feed mills of feed deliveries, maintenance of accurate feed inventories and proper feeding methods.Learn about and assist with the maintenance of accurate and complete records pertaining to all ranch activities, feed, mortality, labor, production, and energy consumption.React to any ranch emergency that could adversely affect the chickens, day or night.In the absence of the Foreperson, take full responsibility for the ranch facility and the birds.Maintain a high level of safety awareness and adhere to and enforce all safety rules, procedures and guidelines.Learn about and adhere to the strict sanitation and disease prevention guidelines assist in constant monitoring of bird health, reporting anyall abnormalities to the Ranch Foreperson or Field Supervisor.","Preferably, will have poultry-raising experience.Must be self-motivated and able to work with minimal supervision.Must have good mathematical and organizational skills.Must be able to move 25 pounds.Preferably, will have a mechanical aptitude.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2352628,"Chicken Catcher- Dept 754 - Livehaul Cherry (Varies)","https://jobs.smartrecruiters.com/FosterFarms/744000039801713-chicken-catcher-dept-754-livehaul-cherry-varies-","Foster Farms","Fresno","No","Not specified","Full time","2025-02-05T17:46:50.928694Z","Pay Rate 19.50 per hour","(Additional 1.00 per hour for hours worked between 700pm and 1159pm.  Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"ESSENTIAL JOB FUNCTIONS","To catch and load chickens in a timely, efficient and safely manner. Catch and load chickens using proper lifting and loading techniques.Operate catching and loading equipment using proper techniques and procedures to insure safe handling of birds.Other duties as assigned.","Must be able to constantly lift 30 lbs. for the duration of the work shift.Must be able to bend, squat and kneel for duration of the work shift.Must be willing to work overtime, weekends, holidays and shifts with variable starting and ending times when needed.Must follow the animal welfare policy.Must be able to work safe and follow company standards, guidelines, and policies.Be able to pass drug and alcohol screening.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,
2352626,"Fresh Nights Whole Leg Loader","https://jobs.smartrecruiters.com/FosterFarms/744000039970678-fresh-nights-whole-leg-loader","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928712Z","Removes front half of carcass from back half and maintains supply of front halves to coneline.","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2352625,"Cook (Evenings) Styler","https://jobs.smartrecruiters.com/FosterFarms/744000039971895-cook-evenings-styler","Foster Farms","Farmerville","No","Not specified","Full time","2025-02-05T17:46:50.928730Z","To ensure that all chicken parts entering the spiraloven are placed as to not touch","Must be able to work in coldhot climatesMust be able to stand for long periods of timeMust be able to go up and down stairsMust be able to use knives and scissorsMust be able to lift a minimum of 40lbs",,,,,,,,"All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,,
2352622,"Dark Meat DeboneOver CrewDay Shift","https://jobs.smartrecruiters.com/FosterFarms/744000039992585-dark-meat-debone-over-crew-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928747Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.",,"Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,"We offer our TEAM Members the following benefits","Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","Job Description","Use small hand-held tools (i.e., knives, scissors) to cut chicken into segments for product run.Pack product into foam trays andor plastic bags.Place labels and perform arrangement on trays filled with chicken parts.Repetitive grasping, pushing, and pulling motions while packing, cutting, and grading product.Rotate through various positions on production areas throughout the shift.Place empty trays and pads on the line.Visually inspect and grade chicken parts to determine grade for production lines.Work regularly in a cold or hot environment depending on designated work area.Communicate with Supervision, Lead personnel, and co-workers for assistance regarding assigned task(s), rotation, and production issues. Perform other duties as assigned.","Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback.Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety  procedures.Walk and stand on concrete floor, grating, or metal stand in a cold  environment for prolonged periods.",,,"All your information will be kept confidential according to EEO guidelines.",,,,,,,,,,,,,,,,,,,
2352620,"Breast Meat PackagingArrangerDay Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040004312-breast-meat-packaging-arranger-day-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928765Z","Pay rates between 19.00 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our TEAM Members the following benefits",,,,,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","ESSENTIAL JOB FUNCTIONS","Use small hand-held tools (i.e., knives, scissors) to cut chicken into segments for product run.Pack product into foam trays andor plastic bags.Place labels and perform arrangement on trays filled with chicken parts.Repetitive grasping, pushing, and pulling motions while packing, cutting, and grading product.Rotate through various positions on production areas throughout the shift.Place empty trays and pads on the line.Visually inspect and grade chicken parts to determine grade for production lines.Work regularly in a cold or hot environment depending on designated work area.Communicate with Supervision, Lead personnel, and co-workers for assistance regarding assigned task(s), rotation, and production issues. Perform other duties as assigned.","Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback.Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety  procedures.Walk and stand on concrete floor, grating, or metal stand in a cold  environment for prolonged periods.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,
2352619,"Wing PackagingFeederSwing Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040005615-wing-packaging-feeder-swing-shift","Foster Farms","Kelso","No","Not specified","Full time","2025-02-05T17:46:50.928783Z","Pay rates between 19.00-23.50 with Attendance Premium of 0.25 and Shift Premiums of 0.50 and 1.00 for hours worked during swing and night shifts. Longevity premium of 0.25 after one year of service.","We offer our Team Members the following benefits","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,"Medical, dental, and vision health insurance for themselves and their eligible dependents.Voluntary benefits such as Group Hospital Indemnity Insurance, Group Accident Coverage, Group Critical Illness Coverage, Individual Short-Term Disability Insurance, and Whole Life Insurance.Flexible Spending Accounts (Health Care FSA and Dependent Daycare FSA).Employee Assistance Program (EAP).College tuition reimbursement (100% tuition, 80% books, and 100% parking).401(k) Retirement Plan with a Company-contribution of up to 4%.Vacation, sick, holiday, funeral, and jury duty pay.","JOB DUTIES","Use small hand-held tools (i.e., knives, scissors) to cut chicken into segments for product run.Pack product into foam trays andor plastic bags.Place labels and perform arrangement on trays filled with chicken parts.Repetitive grasping, pushing, and pulling motions while packing, cutting, and grading product.Rotate through various positions on production areas throughout the shift.Place empty trays and pads on the line.Visually inspect and grade chicken parts to determine grade for production lines.Work regularly in a cold or hot environment depending on designated work area.Communicate with Supervision, Lead personnel, and co-workers for assistance regarding assigned task(s), rotation, and production issues. Perform other duties as assigned.",,,"Report regularly and on time to work as well as work all required hours, including overtime and weekends as scheduled.Understand and follow established rules and procedures as well as accept constructive feedback. Work safely and set an example of good working safe habits.Follow established Good Manufacturing Practices (GMPs) and all Food Safety procedures.Work effectively with small, hand-held tools (i.e. knives, scissors).Bend, climb, stoop, and stand as necessary depending on assigned task(s).Repetitive grasping, cutting, reaching, lifting (between 3  5 lbs.)Repetitive pushing, pulling, and lifting between 10 - 80 lbs.Stand on concrete floor, grating, or metal stand for prolonged periods.Must be able to submit and pass a pre-employment drug test and background check.",,,,,,,,,,,,,,,,,,,,,
2352618,"Warehouse Forklift Operator - 1st Shift","https://jobs.smartrecruiters.com/FosterFarms/744000040017076-warehouse-forklift-operator-1st-shift","Foster Farms","Compton","No","Not specified","Full time","2025-02-05T17:46:50.928802Z","Pay Rate 18.30 per hour","Locate open location in the warehouse, cooler, freezer and transport the pallets to the proper location as requiredObtain work schedule from supervisor, obtain supplies required to perform the work and prepare for operationsInspect and verify order with bill of lading, unload pallets, barrels and combos of supplies (meat, beans, TVP, tomato paste, chilies, chili sauce) with a forkliftHand stack materials on pallets when neededCheck production schedule and stage raw materials in freezer, cooler and production staging areas for next days productionMonitor the unloading of bulk products as requiredRotate goods in the warehouse perform inventory counts and double stack pallets of supplies as requiredPerform general housekeeping duties in work area and on the forklift and charge battery on forklift as neededOpen loading dock doors, set dock plate in place and prepare the area to receive materials and supplies from tractortrailersAt the end of the shift clean and secure all equipment and complete all necessary paperwork",,,,,,,,"Must have at least 6 months recent experience operating forklifts, power jacks and pallets jacksMust be able to read, write and communicate in English as it relates to the job and the safety regulationsMust be able to use, or learn to use, the equipment and tools used to perform the jobMust be able to perform all job functions safelyMust be able to lift 50lbsMust be able to follow instructionsMust be able to work the scheduled  assigned times and required overtime for the positionMust be able to stand and walk for extended periods of timeMust be able to submit and pass a criminal background check","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,,
2352617,"Welder - Chicken Livehaul (Day Shift)","https://jobs.smartrecruiters.com/FosterFarms/744000040023273-welder-chicken-livehaul-day-shift-","Foster Farms","Delhi","No","2","Full time","2025-02-05T17:46:50.928820Z","Pay Rate 22.75 per hour.","Additional 1.00 per hour for hours worked between 700pm and 1159pm. Additional 2.00 per hour for hours worked between 1200am-459am)",,,,,,,,"With instructiondirection perform maintenance and repair equipment by performing basic welding fabricating tasks.General cleaning andor assisting other crews if required.Maintaining safety, housekeeping, and sanitation and disease control requirements while performing job duties.Perform other duties as assigned.","Must have a minimum of 2 years training andor experience which has provided a basic working knowledge of metal fabrication practices.Use MIG and Arch Welder.Use of basic hand tools such as a hammer, chisels, pliers, tape measure, grinder, etc.Use of shop equipment such as a saw, drill, press, punch, etc.Use of lockouttagout equipment and procedures.Must be able to pass a Welderfabricators Level C test.Must be able to complete work in a timely and efficient manner.Must have good interpersonal and communication skills.Must be able to lift 50 pounds.Must have and maintain a California drivers license and an acceptable DMV record.Must be able to work in hot and cold weather conditions.","All your information will be kept confidential according to EEO guidelines.","Foster Farms is an Equal Opportunity Employer  Minorities, Females, Veterans and individuals with disabilities are encouraged to apply.","Foster Farms participates in E-Verify during the hire process at all locations for all new Team Members.",,,,,,,,,,,,,,,,,,,,,,
